,S&P_500,S&P_500_Company_Beta
0,MMM,-0.6096629643540988
1,AOS,-0.6318925922993185
2,ABT,-0.4876957896684425
3,ABBV,-0.3234023044209602
4,ACN,-0.44157674261906477
5,ATVI,-0.16404734664388423
6,ADM,-0.10239854014849299
7,ADBE,-0.5599051873950303
8,ADP,-0.5297264239441944
9,AAP,-0.8220767414866285
10,AES,-0.17970059730347587
11,AFL,-0.3298904756931682
12,A,-0.4745422245340742
13,APD,-0.7570504953468083
14,AKAM,-0.5855605039394297
15,ALK,-0.018742445079193197
16,ALB,-0.49196070614827436
17,ARE,-0.28432908950300756
18,ALGN,-0.769212594554895
19,ALLE,-0.6042558769561075
20,LNT,-0.37671111273441765
21,ALL,-0.3777256633212431
22,GOOGL,-0.6708746618192223
23,GOOG,-0.7045976993804385
24,MO,-0.43924906204999786
25,AMZN,-0.929588017741035
26,AMCR,-0.5377089018852941
27,AMD,-1.3780429405332173
28,AEE,-0.3658171076877548
29,AAL,-0.6197389880700652
30,AEP,-0.411101366993779
31,AXP,-0.49798394674522223
32,AIG,-0.4034731385967217
33,AMT,-0.4311418896682238
34,AWK,-0.3187501970158409
35,AMP,-0.24395759698188868
36,ABC,0.15722422391414453
37,AME,-0.5499112536872801
38,AMGN,-0.5161829778505646
39,APH,-0.36595232284762214
40,ADI,-0.7183535366764954
41,ANSS,-1.0583738781514944
42,AON,-0.30243075307927847
43,APA,-0.3339425596335846
44,AAPL,-0.19086970851015014
45,AMAT,-1.1238957370330966
46,APTV,-0.5948681645089404
47,ACGL,-0.3795914171987814
48,ANET,-0.7609474206659931
49,AJG,-0.24370739947354522
50,AIZ,-0.3103145387318409
51,T,-0.06551460605976372
52,ATO,-0.19787435993025324
53,ADSK,-0.47840472194251193
54,AZO,-0.35234236970378036
55,AVB,-0.3557092491210619
56,AVY,-0.5689362082856144
57,AXON,-0.03363629119670244
58,BKR,-0.42364657029573005
59,BALL,-0.42555667856998514
60,BAC,-0.5972760990310061
61,BBWI,-0.034350204037214706
62,BAX,-0.4586028192689444
63,BDX,-0.43189879550247
64,WRB,-0.3264720049294282
65,BBY,-0.5825219007846857
66,BIO,-0.9341728909482967
67,TECH,-0.7493355964829655
68,BIIB,-1.4534464490652894
69,BLK,-0.7116015770577026
70,BK,-0.362457395769984
71,BA,-0.9015330600141058
72,BKNG,-0.5004960727730312
73,BWA,-0.25825789096631757
74,BXP,-0.6889359716723317
75,BSX,-0.5312845275771153
76,BMY,-0.06007551563279007
77,AVGO,-0.854068948095317
78,BR,-0.3714660519707086
79,BRO,-0.46595961154499255
80,BG,-0.538329602258375
81,CHRW,-0.601558637836388
82,CDNS,-0.9054732598859212
83,CZR,-0.2821888075312467
84,CPT,-0.43680549750021247
85,CPB,-0.3901389500171972
86,COF,-1.045058446386647
87,CAH,-0.10671538974948308
88,KMX,-0.1253162410964327
89,CCL,-0.05187178578881988
90,CARR,-0.5695996615389178
91,CTLT,-0.2490293192582827
92,CAT,-0.23642722615405234
93,CBOE,0.01726448633198091
94,CBRE,-0.6471991209933409
95,CDW,-0.44834043924699135
96,CE,-0.929143025271759
97,CNC,-0.10196698866195869
98,CNP,-0.23752737528187526
99,CDAY,-0.02204932299272253
100,CF,0.42770245839964854
101,CRL,-0.30715694693677936
102,SCHW,-0.06858912226833115
103,CHTR,-0.9660181664974259
104,CVX,-0.3873625209055503
105,CMG,-0.42378668909959727
106,CB,-0.28694715917640917
107,CHD,-0.337833794041671
108,CI,-0.22406819697124408
109,CINF,-0.5870193934853241
110,CTAS,-0.5419459626650399
