,S&P_500,S&P_500_Company_Beta
36,ABC,0.1572242239141445
93,CBOE,0.0172644863319809
100,CF,0.4277024583996485
130,CTVA,0.005828126106232
152,DLTR,0.0818653399368306
154,DPZ,0.0070555385441359
171,ENPH,0.541874529164726
181,ETSY,0.1088715290878357
197,FSLR,0.0825455438618684
199,FIS,0.0181315185908692
220,GILD,0.0075075364175834
243,HII,0.0628802389174288
264,JKHY,0.1151632999006787
280,LHX,0.0911574045597598
284,LVS,0.2342163547152501
287,LNC,0.1302894429114623
291,LMT,0.1457071662990518
327,MOS,0.000203743400427
343,NOC,0.0018478294373541
344,NCLH,0.2333584702809787
393,RJF,0.1387040348970569
404,ROL,0.0995690268671124
415,NOW,0.1199960659913026
423,LUV,0.0498569538475481
443,TSLA,0.5286312015370953
493,WYNN,0.4011214537795248
